#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
09241A;JUVIGNY LE TERTRE AP;Agence postale communale;09252A;41 RUE DES ECOLES;;;50520;JUVIGNY LE TERTRE;50260;FRANCE;48.677712;-1.021865;Géocodé au numéro;3631;48.677712, -1.021865
09247A;MONTEBOURG BP;Bureau de Poste;;9 RUE GONZALVE FREMIN;;;50310;MONTEBOURG;50341;FRANCE;49.487057;-1.37792;Géocodé au numéro;3631;49.487057, -1.37792
09248A;MONTFARVILLE AP;Agence postale communale;09312A;2 RUE ES PAILLES;MAIRIE;;50760;MONTFARVILLE;50342;FRANCE;49.652697;-1.267712;Géocodé au milieu de la rue;3631;49.652697, -1.267712
09257A;ORVAL AP;Agence postale communale;09215A;7 RUE DE L EGLISE;;;50660;ORVAL;50388;FRANCE;49.014699;-1.471199;Géocodé au centre de la commune;3631;49.014699, -1.471199
09272A;RAUVILLE LA BIGOT BP;Bureau de Poste;;ROUTE DE CHERBOURG;;;50260;RAUVILLE LA BIGOT;50425;FRANCE;49.518647;-1.684141;Géocodé au numéro;3631;49.518647, -1.684141
09295A;SAINTE PIENCE RP;Relais poste commerçant;09183A;2 ROUTE DE L ETANG;BOULANGERIE  PATISSERIE;PLMOB;50870;STE PIENCE;50535;FRANCE;48.758999;-1.300152;Géocodé au centre de la commune;3631;48.758999, -1.300152
09306A;SOTTEVAST  AP;Agence postale communale;09316A;17 RUE ST HERMELAND;BP 3;;50260;SOTTEVAST;50579;FRANCE;49.522999;-1.594147;Géocodé au centre de la commune;3631;49.522999, -1.594147
09325A;AGON COUTAINVILLE PLAGE BP;Bureau de Poste;;25 PLACE DU 28 JUILLET;;;50230;AGON COUTAINVILLE;50003;FRANCE;49.048271;-1.598175;Géocodé au numéro;3631;49.048271, -1.598175
09335A;AMBONNAY AP;Agence postale communale;09379A;BOULEVARD DES FOSSES DE RONDE;;;51150;AMBONNAY;51007;FRANCE;49.076294;4.175277;Géocodé au milieu de la rue;3631;49.076294, 4.175277
09341A;BARBONNE FAYEL AP;Agence postale communale;09439A;13 GRANDE RUE;;;51120;BARBONNE FAYEL;51036;FRANCE;48.658493;3.69573;Géocodé au milieu de la rue;3631;48.658493, 3.69573
