#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
14710A;ESBLY;Bureau de Poste;;1 RUE LEO LAGRANGE;;;77450;ESBLY;77171;FRANCE;48.900079;2.810553;Géocodé au numéro;3631;48.900079, 2.810553
14716A;FERRIERES EN BRIE BP;Bureau de Poste;;11 RUE JEAN JAURES;;;77164;FERRIERES EN BRIE;77181;FRANCE;48.820964;2.705598;Géocodé au numéro;3631;48.820964, 2.705598
14718A;LA FERTE SOUS JOUARRE;Bureau de Poste;;4 RUE GAMBETTA;;;77260;LA FERTE SOUS JOUARRE;77183;FRANCE;48.947117;3.127697;Géocodé au numéro;3631;48.947117, 3.127697
14720A;FONTAINEBLEAU;Bureau de Poste;;PLACE NAPOLEON BONAPARTE;;;77300;FONTAINEBLEAU;77186;FRANCE;48.403797;2.700196;Géocodé au numéro;3631;48.403797, 2.700196
14722A;FONTAINE LE PORT BP;Bureau de Poste;;RUE VICTOR HUGO;;;77590;FONTAINE LE PORT;77188;FRANCE;48.486391;2.759788;Géocodé au milieu de la rue;3631;48.486391, 2.759788
14731A;GRISY SUISNES BP;Bureau de Poste;;4 RUE DES FLEURS;;;77166;GRISY SUISNES;77217;FRANCE;48.686172;2.666996;Géocodé au numéro;3631;48.686172, 2.666996
14732A;GUERARD BP;Bureau de Poste;;22 GRANDE RUE;;;77580;GUERARD;77219;FRANCE;48.824241;2.957169;Géocodé au numéro;3631;48.824241, 2.957169
14735A;HERME AP;Agence postale communale;14771A;1 PLACE MAIRIE;;;77114;HERME;77227;FRANCE;48.483294;3.349399;Géocodé au numéro;3631;48.483294, 3.349399
14737A;ISLES LES MELDEUSES BP;Bureau de Poste;;10 RUE DE LA GARE;;;77440;ISLES LES MELDEUSES;77231;FRANCE;48.998464;3.006529;Géocodé au numéro;3631;48.998464, 3.006529
14739A;JOUARRE BP;Bureau de Poste;;RESIDENCE DU PARC;;;77640;JOUARRE;77238;FRANCE;48.9272;3.131976;Géocodé au centre de la commune;3631;48.9272, 3.131976
14740A;JOUY LE CHATEL BP;Bureau de Poste;;1 RUE CLAUDE GAUTIER;;;77970;JOUY LE CHATEL;77239;FRANCE;48.664758;3.128903;Géocodé au numéro;3631;48.664758, 3.128903
14751A;LIZY SUR OURCQ BP;Bureau de Poste;;3 RUE DE L EGLISE;;;77440;LIZY SUR OURCQ;77257;FRANCE;49.025012;3.019021;Géocodé au numéro;3631;49.025012, 3.019021
14753A;LONGUEVILLE BP;Bureau de Poste;;PLACE DE LA MAIRIE;;;77650;LONGUEVILLE;77260;FRANCE;48.514652;3.246746;Géocodé au numéro;3631;48.514652, 3.246746
14766A;MITRY MORY REPUBLIQUE BP;Bureau de Poste;;RUE DE LA REPUBLIQUE;;;77290;MITRY MORY;77294;FRANCE;48.983892;2.616875;Géocodé au numéro;3631;48.983892, 2.616875
14770A;MONTCOURT FROMONVILLE RP;Relais poste commerçant;14786A;RUE DU PARC;;;77140;MONTCOURT FROMONVILLE;77302;FRANCE;48.301092;2.700886;Géocodé au milieu de la rue;3631;48.301092, 2.700886
14774A;MONTIGNY LENCOUP AP;Agence postale communale;14771A;PLACE DE LA MAIRIE;;;77520;MONTIGNY LENCOUP;77311;FRANCE;48.452556;3.060731;Géocodé au numéro;3631;48.452556, 3.060731
14778A;MORMANT BP;Bureau de Poste;;1 PLACE DE LA MAIRIE;;;77720;MORMANT;77317;FRANCE;48.606776;2.890256;Géocodé au milieu d un îlot;3631;48.606776, 2.890256
14782A;MOUSSY LE VIEUX AP;Agence postale communale;14702A;PLACE MARCEL HATIER;;;77230;MOUSSY LE VIEUX;77323;FRANCE;49.046563;2.624419;Géocodé au numéro;3631;49.046563, 2.624419
14784A;NANGIS;Bureau de Poste;;PLACE DUPONT PERROT;;;77370;NANGIS;77327;FRANCE;48.556699;3.011989;Géocodé au milieu de la rue;3631;48.556699, 3.011989
14800A;PROVINS;Bureau de Poste;;8 RUE DES BENEDICTINS;;;77160;PROVINS;77379;FRANCE;48.560078;3.302539;Géocodé au numéro;3631;48.560078, 3.302539
14801A;QUINCY VOISINS BP;Bureau de Poste;;5 AVENUE DE LA REPUBLIQUE;;;77860;QUINCY VOISINS;77382;FRANCE;48.899327;2.87332;Géocodé au numéro;3631;48.899327, 2.87332
14807A;SAINT AUGUSTIN AP;Agence postale communale;14692A;RUE DE MEAUX;;;77515;ST AUGUSTIN;77400;FRANCE;48.786856;3.029441;Géocodé au numéro;3631;48.786856, 3.029441
14810A;SAINT GERMAIN SUR MORIN AP;Agence postale communale;14710A;50 RUE DE PARIS CENTRE COMMERCIA;;;77860;ST GERMAIN SUR MORIN;77413;FRANCE;48.883696;2.84499;Géocodé au numéro;3631;48.883696, 2.84499
14818A;SALINS AP;Agence postale communale;14771A;5 TER RUE DE COURCELLE;;;77148;SALINS;77439;FRANCE;48.421739;3.02251;Géocodé au numéro;3631;48.421739, 3.02251
14827A;SOURDUN BP;Bureau de Poste;;RUE DE PARIS;;;77171;SOURDUN;77459;FRANCE;48.53695;3.354542;Géocodé au numéro;3631;48.53695, 3.354542
14829A;THORIGNY SUR MARNE BP;Bureau de Poste;;2 RUE DU MOUSTIER;;;77400;THORIGNY SUR MARNE;77464;FRANCE;48.884241;2.712916;Géocodé au numéro;3631;48.884241, 2.712916
14830A;THOURY FEROTTES AP;Agence postale communale;14777A;52 RUE PLAGY;;;77940;THOURY FEROTTES;77465;FRANCE;48.291793;2.943457;Géocodé au numéro;3631;48.291793, 2.943457
14832A;TOUQUIN BP;Bureau de Poste;;1 PLACE DE LA MAIRIE;;;77131;TOUQUIN;77469;FRANCE;48.73558;3.011663;Géocodé au numéro;3631;48.73558, 3.011663
14839A;VARREDDES BP;Bureau de Poste;;44 RUE MOREAU DUCHESNE;;;77910;VARREDDES;77483;FRANCE;49.000698;2.928896;Géocodé au numéro;3631;49.000698, 2.928896
15566A;LAUZERTE BP;Bureau de Poste;;RUE DE LA MAIRIE;;;82110;LAUZERTE;82094;FRANCE;44.256293;1.137547;Géocodé au milieu de la rue;3631;44.256293, 1.137547
15567A;LA VILLE DIEU DU TEMPLE BP;Bureau de Poste;;PLACE DE L EGLISE;;;82290;LA VILLE DIEU DU TEMPLE;82096;FRANCE;44.033929;1.217696;Géocodé au numéro;3631;44.033929, 1.217696
15571A;MANSONVILLE AP;Agence postale communale;15528A;PLACE DE LA POSTE;;;82120;MANSONVILLE;82102;FRANCE;44.016399;0.840025;Géocodé au centre de la commune;3631;44.016399, 0.840025
15575A;MIRABEL BP;Bureau de Poste;;VILLAGE;;;82440;MIRABEL;82110;FRANCE;44.142874;1.421169;Géocodé au numéro;3631;44.142874, 1.421169
15582B;HEBECREVON RP;Relais poste commerçant;09289A;1 PLACE DES TILLEULS;AU BON ACCUEIL;;50180;HEBECREVON;50239;FRANCE;49.126846;-1.16701;Géocodé au numéro;3631;49.126846, -1.16701
15589A;NOHIC AP;Agence postale communale;15558A;216 RUE DE LA REPUBLIQUE;MAIRIE;;82370;NOHIC;82135;FRANCE;43.89069;1.43776;Géocodé au numéro;3631;43.89069, 1.43776
15603A;SAINT PORQUIER BP;Bureau de Poste;;RUE DES PLATANES;;;82700;ST PORQUIER;82171;FRANCE;44.00518;1.177927;Géocodé au numéro;3631;44.00518, 1.177927
15610A;VALENCE D AGEN;Bureau de Poste;;17 BOULEVARD VICTOR GUILHEM;;;82400;VALENCE D AGEN;82186;FRANCE;44.108839;0.889102;Géocodé au numéro;3631;44.108839, 0.889102
15617A;MONTAUBAN AUSSONNE BP;Bureau de Poste;;IMPASSE D AUSTRIE;ROUTE DU NORD;;82000;MONTAUBAN;82121;FRANCE;44.038493;1.379568;Géocodé au numéro;3631;44.038493, 1.379568
15621A;MONTAUBAN VILLEBOURBON;Bureau de Poste;;64 AVENUE ARISTIDE BRIAND;;;82000;MONTAUBAN;82121;FRANCE;44.016597;1.345188;Géocodé au numéro;3631;44.016597, 1.345188
15635A;LA BASTIDE AP;Agence postale communale;15630A;PLACE DE L EGLISE;;;83840;LA BASTIDE;83013;FRANCE;43.735899;6.625184;Géocodé au centre de la commune;3631;43.735899, 6.625184
15636A;BAUDINARD AP;Agence postale communale;15630A;36 GRAND RUE;;;83630;BAUDINARD SUR VERDON;83014;FRANCE;43.715795;6.134459;Géocodé au centre de la commune;3631;43.715795, 6.134459
15638A;LE BEAUSSET BP;Bureau de Poste;;5 PLACE CHARLES DE GAULLE;;;83330;LE BEAUSSET;83016;FRANCE;43.197575;5.802393;Géocodé au numéro;3631;43.197575, 5.802393
15657A;CAVALAIRE SUR MER BP;Bureau de Poste;;PLACE BENJAMIN GAILLARD;;;83240;CAVALAIRE SUR MER;83036;FRANCE;43.173338;6.531383;Géocodé au numéro;3631;43.173338, 6.531383
15659A;CLAVIERS BP;Bureau de Poste;;PLACE DU 8 MAI 1945;;;83830;CLAVIERS;83041;FRANCE;43.601397;6.56234;Géocodé au milieu de la rue;3631;43.601397, 6.56234
15661A;COLLOBRIERES BP;Bureau de Poste;;8 COURS MIRABEAU;;;83610;COLLOBRIERES;83043;FRANCE;43.236993;6.309221;Géocodé au numéro;3631;43.236993, 6.309221
15668A;DRAGUIGNAN;Bureau de Poste;;BOULEVARD DU MARECHAL JOFFRE;;;83300;DRAGUIGNAN;83050;FRANCE;43.537494;6.461291;Géocodé au numéro;3631;43.537494, 6.461291
15671A;EVENOS BP;Bureau de Poste;;ROUTE NATIONALE 8;;;83330;EVENOS;83053;FRANCE;43.169296;5.829698;Géocodé au centre de la commune;3631;43.169296, 5.829698
15672A;LA FARLEDE BP;Bureau de Poste;;37 AVENUE DE LA REPUBLIQUE;;;83210;LA FARLEDE;83054;FRANCE;43.16475;6.042522;Géocodé au numéro;3631;43.16475, 6.042522
15673A;FAYENCE;Bureau de Poste;;2 BOULEVARD DE L ANNONCIADE;;;83440;FAYENCE;83055;FRANCE;43.623699;6.697034;Géocodé au numéro;3631;43.623699, 6.697034
15679A;FREJUS;Bureau de Poste;;AVENUE ARISTIDE BRIAND;;;83600;FREJUS;83061;FRANCE;43.4331;6.740425;Géocodé au numéro;3631;43.4331, 6.740425
15682A;GAREOULT BP;Bureau de Poste;;PLACE DU GENERAL DE GAULLE;;;83136;GAREOULT;83064;FRANCE;43.329693;6.046219;Géocodé au milieu de la rue;3631;43.329693, 6.046219
15693A;LES MAYONS AP;Agence postale communale;15691A;;;;83340;LES MAYONS;83075;FRANCE;43.313292;6.357509;Géocodé au centre de la commune;3631;43.313292, 6.357509
15698A;MONTAUROUX BP;Bureau de Poste;;AVENUE JEAN CAMILLE PAUC;;;83440;MONTAUROUX;83081;FRANCE;43.617753;6.764269;Géocodé au numéro;3631;43.617753, 6.764269
15701A;MONTMEYAN BP;Bureau de Poste;;17 AVENUE DU VERDON;;;83670;MONTMEYAN;83084;FRANCE;43.647799;6.063598;Géocodé au numéro;3631;43.647799, 6.063598
15703A;LE MUY;Bureau de Poste;;49 AVENUE JEAN MOULIN;;;83490;LE MUY;83086;FRANCE;43.472598;6.563341;Géocodé au numéro;3631;43.472598, 6.563341
15705A;NEOULES BP;Bureau de Poste;;12 PLACE DE LA LIBERTE;;;83136;NEOULES;83088;FRANCE;43.310477;6.013231;Géocodé au numéro;3631;43.310477, 6.013231
15715A;PUGET SUR ARGENS BP;Bureau de Poste;;PLACE DE LA PAIX;;;83480;PUGET SUR ARGENS;83099;FRANCE;43.456047;6.682651;Géocodé au numéro;3631;43.456047, 6.682651
15720A;RIANS;Bureau de Poste;;QUARTIER DES MOULINS A VENT;BATIMENT 2;;83560;RIANS;83104;FRANCE;43.607694;5.759951;Géocodé au milieu de la rue;3631;43.607694, 5.759951
17293A;ALFORTVILLE PRINCIPAL;Bureau de Poste;;PLACE SALVADOR ALLENDE;;;94140;ALFORTVILLE;94002;FRANCE;48.8049;2.415307;Géocodé au numéro;3631;48.8049, 2.415307
17294A;ARCUEIL BP;Bureau de Poste;;75 RUE MARIUS SIDOBRE;;;94110;ARCUEIL;94003;FRANCE;48.804198;2.332796;Géocodé au numéro;3631;48.804198, 2.332796
17301A;CHENNEVIERES SUR MARNE;Bureau de Poste;;9 AVENUE DU MARECHAL LECLERC;;;94430;CHENNEVIERES SUR MARNE;94019;FRANCE;48.796497;2.531939;Géocodé au numéro;3631;48.796497, 2.531939
17303A;CHOISY LE ROI;Bureau de Poste;;15 AVENUE LEON GOURDAULT;;;94600;CHOISY LE ROI;94022;FRANCE;48.763192;2.406638;Géocodé au numéro;3631;48.763192, 2.406638
17308A;FONTENAY SOUS BOIS PRINCIPAL;Bureau de Poste;;30 RUE GUERIN LEROUX;;;94120;FONTENAY SOUS BOIS;94033;FRANCE;48.849298;2.475308;Géocodé au numéro;3631;48.849298, 2.475308
17319A;MANDRES LES ROSES BP;Bureau de Poste;;28 RUE DU GENERAL LECLERC;;;94520;MANDRES LES ROSES;94047;FRANCE;48.7009;2.541221;Géocodé au numéro;3631;48.7009, 2.541221
17320A;VAL DE FONTENAY BP;Bureau de Poste;;9 AVENUE DU VAL DE FONTENAY;;;94120;FONTENAY SOUS BOIS;94033;FRANCE;48.853993;2.487592;Géocodé au numéro;3631;48.853993, 2.487592
17325A;LE PERREUX SUR MARNE;Bureau de Poste;;101 AVENUE GEORGES CLEMENCEAU;;;94170;LE PERREUX SUR MARNE;94058;FRANCE;48.842593;2.503476;Géocodé au numéro;3631;48.842593, 2.503476
17328A;RUNGIS VILLE BP;Bureau de Poste;;6 PLACE LOUIS XIII;;;94150;RUNGIS;94065;FRANCE;48.750395;2.346257;Géocodé au numéro;3631;48.750395, 2.346257
17330A;SAINT MAUR DES FOSSES PRINCIPAL;Bureau de Poste;;46 AVENUE FOCH;;;94100;ST MAUR DES FOSSES;94068;FRANCE;48.802497;2.491347;Géocodé au numéro;3631;48.802497, 2.491347
17346A;CHAMPIGNY PLATEAU BP;Bureau de Poste;;56 AVENUE DE COEUILLY;;;94500;CHAMPIGNY SUR MARNE;94017;FRANCE;48.812199;2.526337;Géocodé au numéro;3631;48.812199, 2.526337
17347A;CHARENTON LIBERTE BP;Bureau de Poste;;5 B RUE PASTEUR;;;94220;CHARENTON LE PONT;94018;FRANCE;48.823492;2.405657;Géocodé au numéro;3631;48.823492, 2.405657
17355A;IVRY SUR SEINE PORT BP;Bureau de Poste;;60 BD PAUL VAILLANT COUTURIER;;;94200;IVRY SUR SEINE;94041;FRANCE;48.817798;2.39811;Géocodé au numéro;3631;48.817798, 2.39811
17357A;MAISONS ALFORT CHARENTONNEAU;Bureau de Poste;;86 RUE CHEVREUL;;;94700;MAISONS ALFORT;94046;FRANCE;48.808993;2.444379;Géocodé au numéro;3631;48.808993, 2.444379
17363A;SAINT MAUR BERTHELOT;Bureau de Poste;;59 RUE DU PONT DE CRETEIL;;;94100;ST MAUR DES FOSSES;94068;FRANCE;48.804705;2.471896;Géocodé au numéro;3631;48.804705, 2.471896
17367A;IVRY PLATEAU BP;Bureau de Poste;;168 BOULEVARD DE STALINGRAD;;;94200;IVRY SUR SEINE;94041;FRANCE;48.8058;2.376937;Géocodé au numéro;3631;48.8058, 2.376937
17370A;FONTENAY JOFFRE BP;Bureau de Poste;;1 AVENUE DU MARECHAL JOFFRE;;;94120;FONTENAY SOUS BOIS;94033;FRANCE;48.853896;2.470308;Géocodé au numéro;3631;48.853896, 2.470308
17375A;CACHAN LA PLAINE BP;Bureau de Poste;;40 AV DU MAL DE LATTRE DE TASSIGNY;;;94230;CACHAN;94016;FRANCE;48.786599;2.332267;Géocodé au numéro;3631;48.786599, 2.332267
17402A;CHENNEVIERES RABELAIS BP;Bureau de Poste;;5 RUE RABELAIS;;;94430;CHENNEVIERES SUR MARNE;94019;FRANCE;48.803194;2.552196;Géocodé au numéro;3631;48.803194, 2.552196
17413A;ARGENTEUIL UTRILLO;Bureau de Poste;;104 AVENUE MAURICE UTRILLO;;;95100;ARGENTEUIL;95018;FRANCE;48.946899;2.233648;Géocodé au numéro;3631;48.946899, 2.233648
17415A;BEZONS GRAND CERF BP;Bureau de Poste;;154 RUE EDOUARD VAILLANT;RESIDENCE ARTHUR RIMBAUD;;95870;BEZONS;95063;FRANCE;48.923993;2.207959;Géocodé au numéro;3631;48.923993, 2.207959
17417A;ARRONVILLE AP;Agence postale communale;17469A;12 RUE DE LA MAIRIE;;;95810;ARRONVILLE;95023;FRANCE;49.181744;2.113947;Géocodé au numéro;3631;49.181744, 2.113947
17418A;ASNIERES SUR OISE BP;Bureau de Poste;;16 RUE PIERRE BROSSOLETTE;;;95270;ASNIERES SUR OISE;95026;FRANCE;49.132298;2.356007;Géocodé au numéro;3631;49.132298, 2.356007
17420A;AUVERS SUR OISE BP;Bureau de Poste;;4 PLACE DE LA MAIRIE;;;95430;AUVERS SUR OISE;95039;FRANCE;49.070132;2.172213;Géocodé au numéro;3631;49.070132, 2.172213
17438A;BUTRY SUR OISE AP;Agence postale communale;17473A;55 RUE DE LA DIVISION LECLERC;;;95430;BUTRY SUR OISE;95120;FRANCE;49.085898;2.197909;Géocodé au numéro;3631;49.085898, 2.197909
17447A;ECOUEN BP;Bureau de Poste;;4 PLACE DE L EGLISE;;;95440;ECOUEN;95205;FRANCE;49.01828;2.379861;Géocodé au numéro;3631;49.01828, 2.379861
17449A;ENNERY AP;Agence postale communale;17487A;PLACE ANASTASIA RENDU;;;95300;ENNERY;95211;FRANCE;49.076195;2.105676;Géocodé au milieu de la rue;3631;49.076195, 2.105676
17453A;FONTENAY EN PARISIS BP;Bureau de Poste;;14 PLACE DE STALINGRAD;;;95190;FONTENAY EN PARISIS;95241;FRANCE;49.053899;2.45115;Géocodé au numéro;3631;49.053899, 2.45115
17455A;FRANCONVILLE;Bureau de Poste;;20 BOULEVARD MAURICE BERTEAUX;;;95130;FRANCONVILLE LA GARENNE;95252;FRANCE;48.986697;2.228967;Géocodé au numéro;3631;48.986697, 2.228967
17457A;LA FRETTE SUR SEINE BP;Bureau de Poste;;1 PLACE MARCELLIN BERTHELOT;;;95530;LA FRETTE SUR SEINE;95257;FRANCE;48.979195;2.181499;Géocodé au numéro;3631;48.979195, 2.181499
17459A;GONESSE PRINCIPAL;Bureau de Poste;;PLACE JEAN JAURES;;;95500;GONESSE;95277;FRANCE;48.985614;2.439885;Géocodé au numéro;3631;48.985614, 2.439885
17466A;LUZARCHES BP;Bureau de Poste;;PLACE DE LA REPUBLIQUE;;;95270;LUZARCHES;95352;FRANCE;49.112715;2.425369;Géocodé au numéro;3631;49.112715, 2.425369
17476A;MONTIGNY LES CORMEILLES BP;Bureau de Poste;;1 AVENUE ARISTIDE MAILLOL;;;95370;MONTIGNY LES CORMEILLES;95424;FRANCE;48.996093;2.198998;Géocodé au numéro;3631;48.996093, 2.198998
17485A;PIERRELAYE BP;Bureau de Poste;;15 RUE JEAN JAURES;;;95480;PIERRELAYE;95488;FRANCE;49.022081;2.152239;Géocodé au numéro;3631;49.022081, 2.152239
17493A;SAINT GRATIEN BP;Bureau de Poste;;44 RUE BERTHIE ALBRECHT;;;95210;ST GRATIEN;95555;FRANCE;48.967197;2.283837;Géocodé au numéro;3631;48.967197, 2.283837
17508A;VETHEUIL BP;Bureau de Poste;;10 PLACE DE LA MAIRIE;;;95510;VETHEUIL;95651;FRANCE;49.062975;1.701412;Géocodé au numéro;3631;49.062975, 1.701412
17512A;VILLIERS LE BEL BP;Bureau de Poste;;PLACE BERLIOZ;;;95400;VILLIERS LE BEL;95680;FRANCE;49.004999;2.398809;Géocodé au numéro;3631;49.004999, 2.398809
17527A;MONTMAGNY LES SABLONS BP;Bureau de Poste;;15 RUE CLAUDE DEBUSSY;CENTRE COMMERCIAL;;95360;MONTMAGNY;95427;FRANCE;48.963075;2.337588;Géocodé au numéro;3631;48.963075, 2.337588
17529A;ARGENTEUIL VAL D'ARGENT NORD BP;Bureau de Poste;;ESPLANADE MAURICE THOREZ;;;95100;ARGENTEUIL;95018;FRANCE;48.953094;2.226976;Géocodé au milieu d un îlot;3631;48.953094, 2.226976
17532A;ARGENTEUIL ORGEMONT BP;Bureau de Poste;;113 AVENUE DE STALINGRAD;;;95100;ARGENTEUIL;95018;FRANCE;48.952513;2.267655;Géocodé au numéro;3631;48.952513, 2.267655
17539A;GONESSE FAUCONNIERE BP;Bureau de Poste;;8 PLACE MARC SANGNIER;CC LA FAUCONNIERE LOTS C22 C23 ET C24;;95500;GONESSE;95277;FRANCE;49.001695;2.422707;Géocodé au numéro;3631;49.001695, 2.422707
17540A;FRANCONVILLE EPINE GUYON BP;Bureau de Poste;;CTRE COMMERCIAL EPINE GUYON;;;95130;FRANCONVILLE LA GARENNE;95252;FRANCE;48.995396;2.220318;Géocodé au numéro;3631;48.995396, 2.220318
17541A;ARGENTEUIL COTEAUX;Bureau de Poste;;22 RUE DE VEDRINES;;;95100;ARGENTEUIL;95018;FRANCE;48.958991;2.239697;Géocodé au numéro;3631;48.958991, 2.239697
17548B;ST ANTOINE RPC RP;Relais poste commerçant;05665A;10 RUE DE LA COMMANDERIE;LA COQUILLE;;32340;ST ANTOINE;32358;FRANCE;44.036729;0.840585;Géocodé au numéro;3631;44.036729, 0.840585
17647A;BASSE TERRE;Bureau de Poste;;RUE AMEDEE FENGAROL;;;97100;BASSE TERRE;97105;FRANCE;15.991096;-61.727471;Géocodé au numéro;3631;15.991096, -61.727471
17650A;CAPESTERRE MARIE GALANTE BP;Bureau de Poste;;RUE CERAN ROSMADE;;;97140;CAPESTERRE DE MARIE GALANTE;97108;FRANCE;15.891565;-61.222104;Géocodé au numéro;3631;15.891565, -61.222104
17663A;POINTE NOIRE BP;Bureau de Poste;;LE BOURG;;;97116;POINTE NOIRE;97121;FRANCE;16.232034;-61.789377;Géocodé au numéro;3631;16.232034, -61.789377
17667A;SAINT FRANCOIS BP;Bureau de Poste;;RUE SAINT AUDE FERLY;;;97118;ST FRANCOIS;97125;FRANCE;16.252842;-61.270453;Géocodé au numéro;3631;16.252842, -61.270453
17683A;LA BOUCAN BP;Bureau de Poste;;RUE MARTIN LUTHER KING;LA BOUCAN;;97115;STE ROSE;97129;FRANCE;16.281956181;-61.66997194;Géocodé au numéro;3631;16.281956181, -61.66997194
17711A;DUCOS;Bureau de Poste;;PLACE ANDRE ALIKER;;;97224;DUCOS;97207;FRANCE;14.575712;-60.972932;Géocodé au numéro;3631;14.575712, -60.972932
17717A;LE LAMENTIN BOURG BP;Bureau de Poste;;49 RUE ERNEST ANDRE;;;97232;LE LAMENTIN;97213;FRANCE;14.616056;-61.00173;Géocodé au numéro;3631;14.616056, -61.00173
17719A;MACOUBA BP;Bureau de Poste;;RUE DES CINQUANTE PAS;BOURG;;97218;BASSE POINTE;97215;FRANCE;14.876669;-61.140905;Géocodé au numéro;3631;14.876669, -61.140905
17728A;SAINT JOSEPH BP;Bureau de Poste;;RUE OMAN DUQUESNOY;;;97212;ST JOSEPH;97224;FRANCE;14.670755;-61.037835;Géocodé au numéro;3631;14.670755, -61.037835
17733A;SCHOELCHER BOURG BP;Bureau de Poste;;RUE FESSENHEIM;;;97233;SCHOELCHER;97229;FRANCE;14.616008;-61.101437;Géocodé au numéro;3631;14.616008, -61.101437
17737A;LE MORNE VERT BP;Bureau de Poste;;PLACE DE LA CHAPELLE;;;97226;LE MORNE VERT;97233;FRANCE;14.706941;-61.145003;Géocodé au numéro;3631;14.706941, -61.145003
17741A;RIVIERE SALEE PETIT BOURG BP;Bureau de Poste;;25 RUE DE LA LIBERTE;;PETIT BOURG;97215;RIVIERE SALEE;97221;FRANCE;14.545946451;-60.96840799;Géocodé au numéro;3631;14.545946451, -60.96840799
17744A;FORT DE FRANCE SAINTE THERESE;Bureau de Poste;;RUE DU FAUBOURG LA CAMILLE;;;97200;FORT DE FRANCE;97209;FRANCE;14.610346;-61.053409;Géocodé au numéro;3631;14.610346, -61.053409
17745A;FORT DE FRANCE TERRES SAINVILLE BP;Bureau de Poste;;RUE DU VIEUX CHEMIN;;;97200;FORT DE FRANCE;97209;FRANCE;14.609853;-61.071849;Géocodé au numéro;3631;14.609853, -61.071849
17753A;LE LAMENTIN PLACE D ARMES;Bureau de Poste;;PLACE D ARMES;;;97232;LE LAMENTIN;97213;FRANCE;14.617785546;-60.99185318;Géocodé au numéro;3631;14.617785546, -60.99185318
17761A;KOUROU;Bureau de Poste;;AVENUE DES FRERES KENNEDY;;;97310;KOUROU;97304;FRANCE;5.1645245947;-52.64139354;Géocodé au numéro;3631;5.1645245947, -52.64139354
17764A;MATOURY;Bureau de Poste;;122 LOTISSEMENT LES MOUCAYAS;;;97351;MATOURY;97307;FRANCE;4.8497371521;-52.32781649;Géocodé au numéro;3631;4.8497371521, -52.32781649
17766A;REMIRE MONTJOLY;Bureau de Poste;;AVENUE JEAN MICHOTTE;;;97354;REMIRE MONTJOLY;97309;FRANCE;4.9034116357;-52.2764039;Géocodé au numéro;3631;4.9034116357, -52.2764039
17770A;MONTSINERY TONNEGRANDE BP;Bureau de Poste;;LE BOURG;;;97356;MONTSINERY TONNEGRANDE;97313;FRANCE;4.89237;-52.492913;Géocodé au numéro;3631;4.89237, -52.492913
17774A;ST LAURENT DU MARONI KAMALAGULI BP;Bureau de Poste;;2 ALLEE PAUL ELUARD;;;97320;ST LAURENT DU MARONI;97311;FRANCE;5.4644334935;-54.02449608;Géocodé au numéro;3631;5.4644334935, -54.02449608
17785A;CAYENNE MANDELA;Bureau de Poste;;31 BOULEVARD NELSON MADIBA MANDELA;;;97300;CAYENNE;97302;FRANCE;4.9376120396;-52.33521402;Géocodé au numéro;3631;4.9376120396, -52.33521402
17790A;BRAS PANON BP;Bureau de Poste;;PLACE MICHEL DEBRE;;;97412;BRAS PANON;97402;FRANCE;-20.9946483;55.676291585;Géocodé au numéro;3631;-20.9946483, 55.676291585
17795A;LE PORT BP;Bureau de Poste;;28 RUE DE MONTPELLIER;;;97420;LE PORT;97407;FRANCE;-20.93385527;55.290691853;Géocodé au numéro;3631;-20.93385527, 55.290691853
17798A;ST BENOIT;Bureau de Poste;;12 RUE GEORGES POMPIDOU;;;97470;ST BENOIT;97410;FRANCE;-21.033882;55.713337;Géocodé au numéro;3631;-21.033882, 55.713337
17799A;ST DENIS RP;Bureau de Poste;;60 RUE DU MARECHAL LECLERC;;;97400;ST DENIS;97411;FRANCE;-20.879848;55.451328;Géocodé au numéro;3631;-20.879848, 55.451328
17803A;ST PAUL;Bureau de Poste;;58 RUE RHIN ET DANUBE;;;97460;ST PAUL;97415;FRANCE;-21.01009058;55.271245837;Géocodé au numéro;3631;-21.01009058, 55.271245837
17806A;STE MARIE;Bureau de Poste;;6 RUE DE LA REPUBLIQUE;;;97438;STE MARIE;97418;FRANCE;-20.896498;55.544795;Géocodé au numéro;3631;-20.896498, 55.544795
17813A;ST DENIS OCEAN BP;Bureau de Poste;;357 RUE DU MARECHAL LECLERC;;;97400;ST DENIS;97411;FRANCE;-20.88209712;55.461022854;Géocodé au numéro;3631;-20.88209712, 55.461022854
17819A;LE PORT ZUP BP;Bureau de Poste;;RUE VICTOR HUGO;ZUP;;97420;LE PORT;97407;FRANCE;-20.936545;55.304051;Géocodé au numéro;3631;-20.936545, 55.304051
17823A;LA CRESSONNIERE BP;Bureau de Poste;;643 RUE LONGANIS;;LA CRESSONNIERE;97440;ST ANDRE;97409;FRANCE;-20.971673;55.657421;Géocodé au numéro;3631;-20.971673, 55.657421
17825A;LE BRULE AP;Agence postale communale;17799A;CHEMIN DE LOURDES;MAIRIE ANNEXE;LE BRULE;97400;ST DENIS;97411;FRANCE;-20.92238618;55.434903502;Géocodé au numéro;3631;-20.92238618, 55.434903502
